,slang,formal,
253,bgn,bangun,
254,bgni,begini,
255,bgntdr,bangun tidur,
256,bgs,bagus,
257,bgst,bangsat,
258,bgt,banget,
259,bgtu,begitu,
260,bgus,bagus,
261,bhay,selamat tinggal,
262,bhinekaan,bhineka,
263,bhinneka,bhineka,
264,bhkan,bahkan,
265,bhn,bahan,
266,bhong,bohong,
267,bhs,bahas,
268,bhw,bahwa,
269,bhwa,bahwa,
270,bhy,bahaya,
271,biarin,biarkan,
272,biarpn,biarpun,
273,bijimane,bagaimana,
274,bisenye,bisanya,
275,bistu,habis itu,
276,bisya,bisa,
277,biza,bisa,
278,bj,baju,
279,bju,baju,
280,bk,buku,
281,bkan,bukan,
282,bkap,ayah,
283,bkin,bikin,
284,bkl,bakal,
285,bkn,bukan,
286,bkna,bukannya,
287,bkp,ayah,
288,bkr,bakar,
289,bks,bungkus,
290,bl,beli,
291,blajar,belajar,
292,blakan,blak,
293,blg,bilang,
294,blh,boleh,
295,bli,beli,
296,blik,balik,
297,blingsatanya,belingsatan,
298,bljr,belajar,
299,blk,balik,
300,blkg,belakang,
301,blkng,belakang,
302,blkngny,belakangnya,
303,blm,belum,
304,bln,bulan,
305,blng,bilang,
306,blngn,bilangan,
307,blom,belum,
308,blon,belum,
309,bloon,belum,
310,bls,balas,
311,blum,belum,
312,blusukan,blusuk,
313,bndg,bandung,
314,bndr,bandar,
315,bner,benar,
316,bneran,benar,
317,bnget,banget,
318,bngks,bungkus,
319,bngng,bingung,
320,bngsa,bangsa,
321,bngt,banget,
322,bngun,bangun,
323,bnr,benar,
324,bnrbnr,benar benar,
325,bnrn,benaran,
326,bntar,sebentar,
327,bntr,sebentar,
328,bnyak,banyak,
329,bnyk,banyak,
330,bnykny,banyaknya,
331,bobo,tidur,
332,bobok,tidur,
333,bodo,bodoh,
334,bokap,ayah,
335,bokaps,ayah,
336,bokapz,ayah,
337,bole,boleh,
338,boong,bohong,
339,bosen,bosan,
340,boskuh,bosku,
341,boten,tidak,
342,bozen,bosan,
343,bozn,bosan,
344,bp,bapak,
345,bpak,bapak,
346,bpk,bapak,
347,br,baru,
348,brani,berani,
349,brantas,berantas,
350,brapa,berapa,
351,brarti,berarti,
352,brasa,berasa,
353,bravoo,bravo,
354,breake,istirahat,
355,breaking,istirahat,
356,brengsek,berengsek,
357,brg,barang,
358,brgkt,berangkat,
359,brharap,berharap,
360,brhsl,berhasil,
361,brikut,berikut,
362,bringas,beringas,
363,brisik,berisik,
364,brjln,berjalan,
365,brjuang,berjuang,
366,brkeliaran,berkeliaran,
367,brkfst,sarapan,
368,brkpntingan,berkepentingan,
369,brkumandang,berkumandang,
370,brmslh,bermasalah,
371,brngkt,berangkat,
372,brp,berapa,
373,brpa,berapa,
374,brpedoman,berpedoman,
375,brrti,berarti,
376,brs,beres,
377,brsal,berasal,
378,brsama,bersama,
379,brsamamu,bersamamu,
380,brshbt,bersahabat,
381,brsm,bersama,
382,brtahan,bertahan,
383,brthn,bertahan,
384,brtmn,berteman,
385,bru,baru,
386,bruh,buruh,
387,bryaw,sabar ya,
388,bryw,sabar ya,
389,bs,bisa,
390,bsa,bisa,
391,bsk,besok,
392,bsok,besok,
393,bsoq,besok,
394,bsr,besar,
395,bte,bosan,
396,btg,batang,
397,bth,butuh,
398,btl,betul,
399,btul,betul,
400,btull,betul,
401,buad,buat,
402,buatapa,buat apa,
403,buatin,buatkan,
404,bubarin,bubarkan,
405,bukabukaan,buka bukaan,
406,bukane,bukannya,
407,bukn,bukan,
408,buktiin,buktikan,
409,buktikan,buktikan,
410,buktikqn,buktikan,
411,bul,kibul,
412,bulshit,kibul,
413,buryam,bubur ayam,
414,buzer,buzzer,
415,buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks,
416,buzzerbuzzernya,buzzer buzzernya,
